playful,comforting,irritated,bored,1,playful
terrified,upset,arrogant,annoyed,2,upset
joking,flustered,desire,convinced,3,desire
joking,insisting,amused,relaxed,2,insisting
irritated,sarcastic,worried,friendly,3,worried
aghast,fantasizing,impatient,alarmed,2,fantasizing
apologetic,friendly,uneasy,dispirited,3,uneasy
despondent,relieved,shy,excited,1,despondent
annoyed,hostile,horrified,preoccupied,4,preoccupied
cautious,insisting,bored,aghast,1,cautious
terrified,amused,regretful,flirtatious,3,regretful
indifferent,embarrassed,skeptical,dispirited,3,skeptical
decisive,anticipating,threatening,shy,2,anticipating
irritated,disappointed,depressed,accusing,4,accusing
contemplative,flustered,encouraging,amused,1,contemplative
irritated,thoughtful,encouraging,sympathetic,2,thoughtful
doubtful,affectionate,playful,aghast,1,doubtful
amused,decisive,aghast,bored,2,decisive
arrogant,grateful,sarcastic,tentative,4,tentative
dominant,horrified,guilty,friendly,4,friendly
embarrassed,fantasizing,confused,panicked,2,fantasizing
preoccupied,grateful,insisting,imploring,1,preoccupied
contented,apologetic,defiant,curious,3,defiant
pensive,irritated,excited,hostile,1,pensive
panicked,incredulous,despondent,interested,4,interested
alarmed,shy,hostile,anxious,3,hostile
joking,cautious,arrogant,reassuring,2,cautious
interested,joking,affectionate,contented,1,interested
impatient,aghast,irritated,reflective,4,reflective
grateful,flirtatious,hostile,disappointed,2,flirtatious
ashamed,confident,joking,dispirited,2,confident
serious,ashamed,bewildered,alarmed,1,serious
embarrassed,guilty,fantasizing,concerned,4,concerned
aghast,baffled,distrustful,terrified,3,distrustful
puzzled,nervous,insisting,contemplative,2,nervous
ashamed,nervous,suspicious,indecisive,3,suspicious